trackName,artistName,genre
Automatic (feat. Jake Miller),Fly By Midnight,singer-songwriter pop
Autumn festival,RADWIMPS,j-pop
Avoiding,Vorsa,lo-fi chill
Awari,Adnan Dhool,pakistani pop
Away From Home,Broken Back,new french touch
Axel F,Crazy Frog,
Aziyat 2.0 - Reprise Version,Pratsofficial,desi pop
BABYDOLL,Ari Abdul,dark r&b
BABYDOLL (Speed),Ari Abdul,dark r&b
BAND$,Arizona Zervas,pop rap
BARTA,Lorn,glitch hop
BATTLEKOUR,Hiroyuki Sawano,anime score
BB's Theme,Ludvig Forssell,anime
BIG SHOT,The Lumineers,folk-pop
BLENDER,5 Seconds of Summer,boy band
BLINE,BRONSON,vapor twitch
BLOOD,KLOUD,traprun
BLOOD FLAME,BADTRIP MUSIC,drift phonk
BLOOD RACE,Ghostface Playa,drift phonk
BLOODLINE,Sinizter,dark trap
BLOODY TEAR,LXST CXNTURY,chill phonk
BOOM,TiГ«sto,big room
BOW,MFS,josei rap
BOY,Charlie Puth,pop
BRAND NEW WORLD - EUROBEAT VERSION,Ace,super eurobeat
BREAKDOWN,MC ORSEN,drift phonk
BRIDGES,Ludvig Forssell,anime
BTBT,B.I,k-pop
BUBBLE,Hiroyuki Sawano,anime score
BUBBLE-cho.,Hiroyuki Sawano,anime score
BUBBLE-outtake1,Hiroyuki Sawano,anime score
BURN IT DOWN,Linkin Park,alternative metal
BYE,Jaden,pop rap
Baaraat,Ritviz,desi hip hop
Baari,Bilal Saeed,desi hip hop
Baarish,Mohammed Irfan,filmi
Baarish Lete Aana,Darshan Raval,desi pop
Baba O'Riley,The Who,album rock
Baba O'Riley - ConfidentialMX Remix,The Who,album rock
Baby Be Crazy,Brantley Gilbert,contemporary country
Baby Blue - Remastered 2010,Badfinger,album rock
Baby Girl,Disco Lines,stutter house
Baby I'm A Queen,Sofi Tukker,edm
Baby Won't You Tell Me (From "Saaho"),Alyssa Mendonsa,
Baby You're Worth It,Kina,sad lo-fi
Back In Black,AC/DC,australian rock
Back In My Head Again,Levi Evans,
Back To My Bed,Elderbrook,uk dance
Back When We Were Kids,Timeflies,indie pop rap
Backseat Freestyle,Kendrick Lamar,conscious hip hop
Backseat Rider,Sara Kays,alt z
Backwards,Alexander Stewart,singer-songwriter pop
Backwards,B3,
Bad,Mokita,chill pop
Bad Boy,CHUNG HA,k-pop
Bad Boy,Cascada,eurodance
Bad Dream Baby,Hippo Campus,minneapolis indie
Bad For Me,Ber,alt z
